gasto_id,usuario_id,comercio_id,medio_id,monto,fecha,descripcion,estado,nombre,apellido,email,ciudad,edad
1,1,1,3,85000.0,2026-01-05,mercado semanal,aprobado,,,,,
2,2,12,1,450000.0,2026-01-08,tiquete bogotá-cartagena,aprobado,,,,,
3,3,3,4,12500.0,2026-01-10,sin_descripcion,aprobado,,,,,
3,96,20,14,2486098.0,2026-04-06,transporte,aprobado,,,,,
5,50,35,14,1051581.0,2026-01-08,sin_descripcion,aprobado,maría,morales,sin_email,medellin,38
7,19,78,5,615213.0,2026-03-13,curso,aprobado,pedro,herrera,pedro.herrera@gmail.com,manizales,37
9,33,26,17,2540585.0,2026-03-23,hogar,rechazado,,,,,
10,114,112,8,2401114.0,2026-04-03,servicios,pendiente,,,,,
11,50,86,16,2809539.0,2026-02-25,ropa,pendiente,maría,morales,sin_email,medellin,38
12,15,91,1,1786493.0,2026-04-08,hogar,aprobado,,,,,
13,119,80,5,1444439.0,2026-01-11,compra,aprobado,laura,vargas,sin_email,bucaramanga,57
14,54,16,20,1348866.0,2026-01-20,libro,aprobado,mateo,vargas,sin_email,cartagena,32
15,72,27,17,216568.0,2026-02-03,sin_descripcion,aprobado,,,,,
17,70,38,7,1934473.0,2026-03-22,transporte,rechazado,camila,gutiérrez,sin_email,cali,49
18,34,74,8,466976.0,2026-04-19,servicios,aprobado,,,,,
19,101,32,7,2704818.0,2026-04-25,gasto,aprobado,,,,,
20,119,40,14,2893670.0,2026-03-18,educación,pendiente,laura,vargas,sin_email,bucaramanga,57
22,27,33,3,1211394.0,2026-02-19,compra,pendiente,,,,,
23,68,74,3,2763112.0,2026-01-22,transporte,rechazado,valentina,gutiérrez,sin_email,bogota,51
24,55,31,8,901161.0,2026-01-18,mercado,pendiente,,,,,
25,79,108,2,1052079.0,2026-01-27,curso,rechazado,felipe,romero,felipe.romero@gmail.com,manizales,48
26,38,33,7,1896199.0,2026-04-27,educación,rechazado,,,,,
27,53,89,8,440600.0,2026-03-22,membresía,rechazado,sebastián,garcía,sebastián.garcía@gmail.com,cartagena,38
30,50,70,19,952333.0,2026-01-14,salud,pendiente,maría,morales,sin_email,medellin,38
31,74,95,12,1142679.0,2026-01-31,viajes,rechazado,,,,,
33,48,85,16,2512453.0,2026-03-16,curso,pendiente,,,,,
34,25,100,5,1244621.0,2026-02-02,transporte,aprobado,santiago,mora,santiago.mora@gmail.com,bucaramanga,38
36,66,79,7,1524392.0,2026-01-12,educación,pendiente,valentina,morales,valentina.morales@gmail.com,cali,48
37,16,110,8,2077277.0,2026-03-17,transporte,rechazado,andrés,mora,andrés.mora@gmail.com,cali,19
38,47,109,8,1953511.0,2026-02-16,entretenimiento,aprobado,,,,,
39,53,62,1,1984702.0,2026-01-31,comida,pendiente,sebastián,garcía,sebastián.garcía@gmail.com,cartagena,38
40,95,91,2,1759991.0,2026-02-21,transacción,pendiente,mateo,sánchez,sin_email,medellin,38
41,69,69,14,2467476.0,2026-01-13,curso,aprobado,felipe,garcía,felipe.garcía@gmail.com,bucaramanga,35
42,46,17,2,1369328.0,2026-02-27,viajes,rechazado,,,,,
43,77,87,17,2175016.0,2026-02-01,libro,pendiente,,,,,
45,104,56,18,1491700.0,2026-02-28,suscripción,pendiente,,,,,
46,71,82,18,1271979.0,2026-02-18,salud,pendiente,,,,,
47,23,102,1,1215259.0,2026-04-15,viajes,pendiente,,,,,
48,109,98,5,1868106.0,2026-02-04,salud,aprobado,sofía,garcía,sin_email,medellin,51
49,12,89,3,675789.0,2026-02-23,transacción,rechazado,,,,,
50,83,28,18,1985509.0,2026-01-01,suscripción,rechazado,,,,,
53,89,57,18,1713988.0,2026-04-18,servicios,pendiente,sebastián,ramírez,sin_email,barranquilla,42
54,70,88,17,2108996.0,2026-03-29,comida,pendiente,camila,gutiérrez,sin_email,cali,49
55,6,6,15,2413566.0,2026-01-09,mercado,rechazado,,,,,
56,18,100,14,843029.0,2026-04-03,entretenimiento,rechazado,isabella,torres,isabella.torres@gmail.com,cartagena,38
57,104,106,15,2794563.0,2026-03-12,gasto,aprobado,,,,,
58,39,83,19,2569703.0,2026-02-27,libro,pendiente,isabella,ruiz,sin_email,bogota,22
59,33,110,5,2539469.0,2026-03-30,entretenimiento,pendiente,,,,,
61,77,56,20,1720582.0,2026-02-05,curso,aprobado,,,,,
62,120,23,13,1260471.0,2026-02-07,pago,aprobado,,,,,
64,67,33,18,2611802.0,2026-01-05,ropa,rechazado,,,,,
66,56,21,19,1211252.0,2026-03-23,tecnología,aprobado,,,,,
67,26,60,6,2383202.0,2026-02-19,transporte,rechazado,,,,,
72,64,77,15,1546288.0,2026-03-10,pago,pendiente,,,,,
75,66,54,14,682849.0,2026-01-10,hogar,pendiente,valentina,morales,valentina.morales@gmail.com,cali,48
76,115,43,11,2049906.0,2026-03-01,educación,pendiente,,,,,
77,14,99,18,1004683.0,2026-01-17,sin_descripcion,pendiente,,,,,
79,86,32,11,2420116.0,2026-03-17,pago,pendiente,,,,,
82,33,95,17,1640456.0,2026-03-15,entretenimiento,rechazado,,,,,
84,58,76,7,1726929.0,2026-04-05,servicios,rechazado,isabella,ruiz,sin_email,bogota,38
85,13,90,2,2796905.0,2026-01-01,transporte,aprobado,,,,,
86,39,100,17,2149493.0,2026-03-13,viajes,pendiente,isabella,ruiz,sin_email,bogota,22
87,33,61,2,2619870.0,2026-03-08,pago,pendiente,,,,,
89,4,112,15,2764199.0,2026-04-28,comida,pendiente,sofía,mora,sin_email,medellin,38
90,21,120,13,522200.0,2026-03-09,comida,pendiente,,,,,
92,64,60,3,2784395.0,2026-04-13,hogar,rechazado,,,,,
93,25,71,10,2168727.0,2026-04-06,curso,pendiente,santiago,mora,santiago.mora@gmail.com,bucaramanga,38
94,85,11,17,1858366.0,2026-01-22,curso,aprobado,,,,,
96,82,39,8,2829305.0,2026-01-18,servicios,aprobado,valentina,romero,valentina.romero@gmail.com,medellin,19
97,74,97,5,1179475.0,2026-04-09,dinero,pendiente,,,,,
98,93,95,8,597934.0,2026-04-28,mercado,pendiente,isabella,castro,isabella.castro@gmail.com,bogota,44
99,110,96,2,2493928.0,2026-02-16,hogar,pendiente,,,,,
100,88,57,1,1539055.0,2026-01-07,entretenimiento,aprobado,,,,,
101,98,62,2,1949415.0,2026-01-14,suscripción,pendiente,,,,,
104,21,19,4,937154.0,2026-03-06,curso,pendiente,,,,,
105,38,26,16,2343971.0,2026-02-07,servicios,aprobado,,,,,
106,1,93,7,2132267.0,2026-04-05,curso,pendiente,,,,,
107,18,92,7,2624197.0,2026-04-16,viajes,pendiente,isabella,torres,isabella.torres@gmail.com,cartagena,38
108,69,26,17,1193931.0,2026-03-10,sin_descripcion,pendiente,felipe,garcía,felipe.garcía@gmail.com,bucaramanga,35
109,95,40,13,1470805.0,2026-01-16,transacción,pendiente,mateo,sánchez,sin_email,medellin,38
110,106,89,2,1426913.0,2026-02-09,dinero,aprobado,,,,,
111,120,93,12,907018.0,2026-04-28,pago,pendiente,,,,,
112,26,20,8,1559948.0,2026-03-08,viajes,pendiente,,,,,
114,97,110,13,85107.0,2026-02-26,sin_descripcion,aprobado,,,,,
115,119,91,16,640529.0,2026-02-26,educación,pendiente,laura,vargas,sin_email,bucaramanga,57
116,66,90,10,107359.0,2026-03-10,dinero,pendiente,valentina,morales,valentina.morales@gmail.com,cali,48
118,69,111,13,1536057.0,2026-04-22,suscripción,pendiente,felipe,garcía,felipe.garcía@gmail.com,bucaramanga,35
119,47,82,5,2045673.0,2026-02-13,salud,pendiente,,,,,
120,88,112,19,2501832.0,2026-01-09,mercado,rechazado,,,,,
122,37,79,20,1950762.0,2026-03-01,transporte,pendiente,,,,,
123,40,71,13,1319161.0,2026-03-20,pago,aprobado,,,,,
124,65,97,9,1809578.0,2026-03-29,compra,pendiente,,,,,
125,95,62,10,36642.0,2026-03-09,entretenimiento,pendiente,mateo,sánchez,sin_email,medellin,38
126,98,13,13,2375999.0,2026-04-06,servicios,pendiente,,,,,
127,2,23,14,646384.0,2026-03-31,suscripción,pendiente,,,,,
130,19,97,14,1436123.0,2026-02-05,viajes,rechazado,pedro,herrera,pedro.herrera@gmail.com,manizales,37
131,23,67,19,2644530.0,2026-03-31,ropa,pendiente,,,,,
133,32,12,7,365846.0,2026-03-10,dinero,aprobado,,,,,
134,101,37,11,63093.0,2026-04-16,curso,pendiente,,,,,
136,52,99,18,1194650.0,2026-01-13,entretenimiento,aprobado,,,,,
137,39,116,1,2452908.0,2026-01-15,viajes,aprobado,isabella,ruiz,sin_email,bogota,22
140,37,61,20,2679179.0,2026-03-07,entretenimiento,rechazado,,,,,
141,57,23,14,2193438.0,2026-04-16,dinero,pendiente,,,,,
142,92,17,16,2241474.0,2026-02-26,gasto,pendiente,gabriela,ortega,gabriela.ortega@gmail.com,medellin,46
143,8,2,12,2571938.0,2026-03-22,viajes,aprobado,,,,,
144,16,8,9,2557472.0,2026-03-13,membresía,pendiente,andrés,mora,andrés.mora@gmail.com,cali,19
145,36,32,9,2995167.0,2026-04-28,viajes,pendiente,,,,,
146,83,116,9,1492739.0,2026-04-14,curso,pendiente,,,,,
147,86,104,8,1175462.0,2026-03-01,compra,pendiente,,,,,
148,54,84,2,1856731.0,2026-02-23,educación,pendiente,mateo,vargas,sin_email,cartagena,32
149,52,118,14,975695.0,2026-03-09,libro,pendiente,,,,,
